Account Details,,,
Account No,Name,Product,Account Officer
ETB1763400230473,Ahadu Bank ATM Settlement,ATM Settlement Payable,"SINIOR DIR, DGITAL FINANCIAL SERVIC"
ETB1763400190001,ACCOUNT PAYABLE AMHARA BA,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400010001,ACCOUNT PAYABLE FOR AIB A,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400020001,ACCOUNT PAYABLE FOR NIB A,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400030001,ACCOUNT PAYABLE FOR UB AT,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400040001,ACCOUNT PAYABLE FOR BIB A,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400050001,ACCOUNT PAYABLE FOR AdIB,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400160001,ZEMEN BANK ATM SETTLEMENT,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400060001,CBE ATM SETTLEMENT,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400070001,WEGAGEN BANK ATM SETTLEME,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400080001,DASHEN BANK ATM SETTLEMEN,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400090001,BUNNA INT BANK ATM SETTLE,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400100001,ABAY BANK ATM SETTLEMENT,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400110001,ABYSSINIA BANK ATM SETTLE,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400120001,ENAT BANK ATM SETTLEMENT,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400130001,DEBUB GLOBAL BANK ATM SET,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400140001,LION BANK ATM SETTLEMENT,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400150001,OROMIA INT BANK ATM SETTL,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400170001,Disputed ATM Trans.( Acco,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
ETB1763400320473,A/P ETH Switch Member Ban,ATM Settlement Payable,Digital Banking Operation
ETB1763400240473,Gadaa Bank ATM Settlement,ATM Settlement Payable,"SINIOR DIR, DGITAL FINANCIAL SERVIC"
ETB1763400200473,ATM Settlement payable Hi,ATM Settlement Payable,"SINIOR DIR, DGITAL FINANCIAL SERVIC"
ETB1763400310473,A/P PSS Member Bank,ATM Settlement Payable,Digital Banking Operation
ETB1763400300473,Sidama Bank ATM Settlemen,ATM Settlement Payable,Digital Banking Operation
ETB1763400220473,Sinqe Bank ATM Setttlemen,ATM Settlement Payable,Digital Banking Operation
ETB1763402200473,Sinqe Bank ATM Setttlemen,ATM Settlement Payable,Digital Banking Operation
ETB1763400210473,ATM Settlement payable Ts,ATM Settlement Payable,"SINIOR DIR, DGITAL FINANCIAL SERVIC"
ETB1763400180001,ACCOUNT PAYABLE Zemzem ba,ATM Settlement Payable,"DIR,ACCOUNTS & FUND MANAGEMENT"
